69 121
54 60 0.4530
82 94 0.9530
91 79 0.0150
79 24 0.6385
77 95 0.3053
20 90 0.3222
37 44 0.0128
71 77 0.9933
64 80 0.1227
56 94 0.9058
21 65 0.7431
43 84 0.3322
7 79 0.8130
6 7 0.4300
43 50 0.6170
15 26 0.3809
5 12 0.1481
57 95 0.2535
29 84 0.0327
27 76 0.1018
74 90 0.9614
25 80 0.2916
12 91 0.8200
35 82 0.8412
8 85 0.3057
25 78 0.3227
12 94 0.7619
21 67 0.4380
14 46 0.9324
37 62 0.1050
24 28 0.3554
1 85 0.9862
50 84 0.7677
13 27 0.3239
17 89 0.8385
2 41 0.4524
23 90 0.9928
5 59 0.5549
14 27 0.5749
47 90 0.3266
44 75 0.9021
70 73 0.6204
20 87 0.1458
38 44 0.6895
1 5 0.7165
31 86 0.6791
12 28 0.4553
43 92 0.6881
19 47 0.8873
38 65 0.4893
32 47 0.8648
0 37 0.6580
12 89 0.5766
17 73 0.2819
14 25 0.8813
50 96 0.6576
63 90 0.9292
14 28 0.6443
8 33 0.9281
54 86 0.6864
17 36 0.9691
16 63 0.7339
26 45 0.1009
28 51 0.2633
9 37 0.5841
4 32 0.0534
0 98 0.7620
58 79 0.6999
13 25 0.6535
28 30 0.1350
10 66 0.9214
48 92 0.1719
27 47 0.3837
36 92 0.5731
21 74 0.5731
66 73 0.6362
52 80 0.3220
75 80 0.8881
22 88 0.1632
19 23 0.2139
25 68 0.3575
50 67 0.3256
68 70 0.6247
26 73 0.5084
55 58 0.2730
0 15 0.9968
65 78 0.7013
76 82 0.7940
15 91 0.6523
22 65 0.9550
13 79 0.8398
10 79 0.3266
7 37 0.2826
22 36 0.7706
0 35 0.8617
35 84 0.8701
44 48 0.6254
12 50 0.4229
53 58 0.6766
21 75 0.0983
38 76 0.1874
72 83 0.4206
49 84 0.2053
44 91 0.3299
29 49 0.4580
0 60 0.1755
40 75 0.6167
12 52 0.4958
14 70 0.0696
9 48 0.1632
33 91 0.6117
3 28 0.6712
57 87 0.8627
23 79 0.6283
70 87 0.2100
66 94 0.9706
61 96 0.4807
5 14 0.7087
16 21 0.8816
71 94 0.9447
8 90 0.7030
5 55 0.6026
42 55 0.7944
10 78 0.6293
5 78 0.7859
6 25 0.6401
53 88 0.8447
22 75 0.7150
14 99 0.6197
29 91 0.2589
33 75 0.2834
14 92 0.0396
26 67 0.0789
25 65 0.8435
66 96 0.0621
70 82 0.3072
9 75 0.1155
72 77 0.9595
55 93 0.4067
17 47 0.5911
37 50 0.2673
69 79 0.9598
44 49 0.0916
50 63 0.4555
33 37 0.5644
31 75 0.6321
3 44 0.7157
34 35 0.1265
46 56 0.6860
30 74 0.8522
28 63 0.7574
25 97 0.4488
50 51 0.1413
0 38 0.7505
31 65 0.7906
3 17 0.6207
69 93 0.3030
1 66 0.5111
38 49 0.3750
24 26 0.2644
14 42 0.4467
37 71 0.5589
14 90 0.8362
62 87 0.5673
43 88 0.1304
85 92 0.2493
58 76 0.4001
56 82 0.0468
47 49 0.6604
63 74 0.4723
18 61 0.4987
21 43 0.4713
25 72 0.3946
69 78 0.3273
6 29 0.9753
91 97 0.0364
54 98 0.5901
75 97 0.2578
17 31 0.6625
24 34 0.0590
49 64 0.4493
51 74 0.8039
16 50 0.9697
11 91 0.8816
20 98 0.2621
5 22 0.5501
93 96 0.0075
40 89 0.3397
43 73 0.6408
46 63 0.9388
43 55 0.2043
40 70 0.1016
36 80 0.1103
14 97 0.2373
51 81 0.5379
24 77 0.8935
20 69 0.8594
7 96 0.5209
34 75 0.7870
52 98 0.5824
44 76 0.4635
7 57 0.6812
48 80 0.7516
61 99 0.1588
74 76 0.7241
2 45 0.3653
18 56 0.2453
1 37 0.2432
9 77 0.8818
47 87 0.8955
4 43 0.0642
45 71 0.0590
76 96 0.5513
11 42 0.4625
80 96 0.0419
41 62 0.9139
33 59 0.3648
13 73 0.9693
70 98 0.2621
56 67 0.8520
1 83 0.4288
15 48 0.5043
9 49 0.8858
41 92 0.8859
60 69 0.7784
12 64 0.0128
27 70 0.2911
16 45 0.7472
80 83 0.5324
32 35 0.0751
48 57 0.7117
40 84 0.0431
21 82 0.1124
28 85 0.6195
0 10 0.3182
34 84 0.9271
31 46 0.7660
0 83 0.6201
19 36 0.2798
67 99 0.5543
39 43 0.3383
69 86 0.7283
7 72 0.9683
80 85 0.1799
32 54 0.2160
59 87 0.1187
37 47 0.0857
78 96 0.7061
56 80 0.3292
67 79 0.0233
44 80 0.8541
40 55 0.7957
74 85 0.3533
64 66 0.0448
35 78 0.8116
1 25 0.5202
35 63 0.8595
28 98 0.3017
18 76 0.7387
64 98 0.3808
45 84 0.9967
29 42 0.9238
24 84 0.4057
35 89 0.2065
18 53 0.6276
69 83 0.2929
15 64 0.0298
19 77 0.4754
34 40 0.9388
10 57 0.8756
69 71 0.6694
30 37 0.1396
5 68 0.6563
14 49 0.9866
66 91 0.8222
44 86 0.3297
43 78 0.9920
27 35 0.9607
6 77 0.9120
38 82 0.3522
92 95 0.6979
23 86 0.6399
32 61 0.1423
17 55 0.7552
26 89 0.1832
3 62 0.1079
51 63 0.4034
21 53 0.8556
26 42 0.1632
57 91 0.7608
2 74 0.5088
22 24 0.6309
2 40 0.4882
41 51 0.5620
2 90 0.3946
12 65 0.8074
12 27 0.7083
70 74 0.5546
3 69 0.4523
22 33 0.8791
24 98 0.1082
9 69 0.7055
26 28 0.4557
15 60 0.9439
49 85 0.0188
0 59 0.5426
2 69 0.3996
11 93 0.8987
70 91 0.8366
17 71 0.2518
2 4 0.8867
38 40 0.4207
33 39 0.8848
5 38 0.9436
24 45 0.8655
6 97 0.6841
46 70 0.3969
87 93 0.7284
39 45 0.7349
16 75 0.6627
23 83 0.1027
29 55 0.4730
16 65 0.0057
50 71 0.3842
49 63 0.8838
34 71 0.4437
7 41 0.1965
76 93 0.0848
19 28 0.3405
2 12 0.9917
24 99 0.5551
36 66 0.6491
67 68 0.5372
18 70 0.6842
0 89 0.2038
9 39 0.0707
6 24 0.9294
21 39 0.2595
19 99 0.0380
12 16 0.0977
10 43 0.1036
54 64 0.3734
14 95 0.5941
35 38 0.2919
32 63 0.7430
38 50 0.6555
69 95 0.5169
33 68 0.2767
18 88 0.0940
20 77 0.1106
20 31 0.8215
27 31 0.6591
22 31 0.2071
63 83 0.5718
7 43 0.9199
21 88 0.2030
47 84 0.3445
43 87 0.0821
41 88 0.6091
10 29 0.4498
7 77 0.3129
13 51 0.2799
5 42 0.1633
55 57 0.9067
74 99 0.4276
14 36 0.2594
35 68 0.1156
38 45 0.5463
45 90 0.5675
3 10 0.2836
18 29 0.2126
43 86 0.6651
75 83 0.2837
9 86 0.6573
5 92 0.4752
58 60 0.0836
24 75 0.6869
29 58 0.9678
12 70 0.9636
6 74 0.4468
52 70 0.8803
74 86 0.9841
32 51 0.3922
34 54 0.5757
13 49 0.8850
7 70 0.4911
87 99 0.7288
3 39 0.1928
26 63 0.9266
30 69 0.4216
30 44 0.3629
6 54 0.2233
22 57 0.1942
0 50 0.0637
60 86 0.9059
6 80 0.0161
7 29 0.0579
33 84 0.2618
80 95 0.4929
40 54 0.6219
38 53 0.7080
16 38 0.7571
7 12 0.5689
15 49 0.9384
25 37 0.0938
1 31 0.4545
13 91 0.3397
486 485
250 473 0.1776
473 139 0.2490
139 383 0.4725
383 378 0.6995
378 203 0.0131
203 238 0.3562
238 370 0.4887
370 118 0.2559
118 13 0.0804
13 131 0.9329
131 177 0.7630
177 341 0.9935
341 462 0.7442
370 71 0.1056
71 190 0.4312
190 325 0.8011
325 428 0.4464
428 241 0.4060
241 263 0.1341
263 47 0.9798
47 441 0.6640
441 246 0.8772
246 240 0.6415
240 437 0.9479
437 410 0.1291
410 304 0.9063
304 101 0.1087
101 168 0.9539
168 24 0.2894
24 403 0.7122
403 349 0.5059
349 225 0.7001
225 376 0.2393
376 375 0.2031
375 220 0.7011
220 316 0.7918
316 18 0.1236
18 407 0.8641
407 368 0.5646
368 307 0.8056
307 144 0.4814
144 457 0.1771
18 255 0.3131
255 252 0.2611
252 149 0.3087
149 96 0.3460
96 117 0.4102
117 186 0.2492
186 431 0.8371
431 479 0.2454
368 215 0.3125
215 275 0.0712
275 384 0.8811
384 160 0.0373
160 292 0.3079
292 340 0.3875
340 202 0.6748
202 266 0.4062
266 322 0.5993
322 424 0.1621
424 175 0.9910
175 324 0.9192
215 336 0.8462
336 158 0.4154
158 62 0.2450
62 414 0.0111
414 402 0.4767
402 11 0.9460
11 339 0.7597
339 162 0.3650
162 482 0.7412
482 102 0.2857
102 342 0.4274
13 330 0.5997
330 406 0.8727
406 363 0.8079
363 94 0.1208
437 134 0.5112
134 153 0.6066
153 452 0.9467
384 360 0.9468
360 164 0.6416
164 100 0.2329
100 148 0.4910
148 355 0.6031
355 389 0.2482
389 31 0.1675
31 366 0.5425
366 328 0.1448
328 135 0.2812
135 289 0.5280
289 254 0.4341
254 33 0.2016
33 205 0.0599
205 53 0.9556
53 400 0.6929
153 214 0.5477
214 267 0.1790
267 195 0.6603
195 213 0.8638
213 450 0.3843
450 181 0.3652
181 276 0.1443
370 369 0.0299
378 265 0.3600
265 2 0.2572
2 50 0.3934
410 390 0.5849
328 301 0.2471
301 25 0.2390
25 219 0.7794
219 171 0.8209
171 236 0.7214
236 92 0.4740
92 187 0.7290
213 183 0.6135
183 48 0.0860
48 484 0.5705
484 170 0.8758
139 176 0.5905
301 227 0.6896
227 359 0.3999
153 298 0.6066
298 478 0.1913
478 419 0.2929
419 167 0.6271
167 119 0.4484
119 114 0.6614
114 173 0.7221
173 226 0.2257
226 396 0.2874
118 184 0.6477
368 89 0.8776
89 237 0.4126
237 210 0.8679
18 109 0.1104
109 206 0.8645
206 40 0.5191
40 76 0.0654
18 459 0.0765
459 382 0.0604
162 14 0.5549
14 44 0.0770
44 258 0.9920
258 26 0.0357
26 416 0.8533
416 130 0.9563
130 244 0.4634
18 333 0.9037
25 54 0.6202
24 464 0.8498
464 20 0.5410
20 422 0.4449
422 108 0.7238
2 463 0.9076
463 208 0.4442
208 124 0.8005
124 132 0.9708
132 97 0.9569
97 470 0.6786
470 287 0.1161
287 300 0.3516
300 59 0.5233
59 269 0.9500
269 447 0.1995
40 67 0.7566
67 63 0.8349
63 356 0.1578
356 165 0.4317
165 344 0.3160
316 113 0.9753
67 310 0.0483
310 223 0.6273
369 243 0.5391
171 123 0.3903
44 93 0.5088
100 151 0.7505
151 77 0.2931
77 12 0.5622
12 110 0.7279
292 36 0.6306
36 427 0.3450
427 61 0.5266
61 69 0.3634
69 288 0.6586
288 8 0.2280
8 138 0.5786
36 480 0.8209
480 212 0.0257
212 156 0.0733
255 408 0.2373
408 193 0.4875
193 21 0.5280
266 103 0.0800
103 318 0.6671
214 140 0.7554
140 393 0.8590
170 454 0.6958
454 423 0.7414
423 32 0.1350
32 485 0.6938
103 460 0.0005
460 279 0.8769
236 476 0.0775
61 297 0.3213
297 115 0.1761
115 353 0.7253
139 465 0.6140
424 157 0.2285
36 308 0.5936
308 81 0.3871
81 39 0.6750
39 306 0.2645
306 127 0.4379
193 146 0.9883
187 320 0.7603
40 204 0.7817
204 143 0.1816
143 436 0.4378
359 174 0.5768
62 152 0.6002
152 449 0.6324
400 188 0.9735
428 169 0.3502
169 257 0.4122
143 56 0.9115
56 455 0.0468
31 435 0.8625
366 472 0.4020
252 302 0.3275
302 420 0.1055
420 291 0.1964
291 343 0.9509
343 405 0.9871
405 273 0.0654
135 17 0.9208
146 329 0.1228
329 439 0.8554
168 352 0.0336
352 399 0.7566
431 221 0.8819
59 129 0.1539
129 425 0.7347
425 446 0.1568
446 38 0.9358
428 277 0.4106
277 19 0.0667
19 199 0.8398
38 286 0.4655
328 136 0.7671
136 294 0.2963
100 371 0.1800
371 78 0.6959
124 445 0.9242
445 125 0.0047
203 261 0.8635
261 469 0.5178
31 222 0.6991
222 30 0.9655
215 128 0.0411
40 458 0.1887
458 16 0.7523
16 79 0.7842
79 453 0.9355
143 430 0.6285
366 293 0.6807
293 395 0.8077
292 55 0.7990
428 404 0.7680
223 327 0.0180
275 133 0.8855
133 315 0.9553
390 196 0.9675
125 49 0.4229
240 372 0.4714
372 379 0.1151
379 75 0.4621
75 385 0.0989
156 284 0.3216
284 388 0.3072
479 5 0.6768
5 249 0.0291
36 232 0.3255
240 229 0.3135
325 10 0.7553
10 365 0.2266
320 191 0.0307
191 197 0.3247
177 401 0.3231
401 271 0.3624
109 51 0.7883
51 28 0.0875
244 280 0.2243
55 192 0.1173
378 381 0.3952
175 474 0.4599
462 99 0.5266
99 421 0.1090
32 338 0.5193
465 116 0.4862
330 9 0.6858
9 466 0.9037
466 296 0.2028
458 319 0.2945
470 41 0.7078
342 35 0.2122
35 66 0.3588
56 337 0.8179
310 0 0.1579
167 211 0.9774
211 121 0.7528
121 242 0.3169
242 391 0.3726
340 46 0.7677
184 209 0.1155
209 256 0.2134
479 295 0.1431
146 245 0.8859
245 179 0.9696
220 481 0.8758
132 147 0.3629
54 37 0.1658
183 394 0.0069
394 398 0.2648
398 233 0.0398
372 313 0.8293
463 166 0.2818
359 80 0.1590
119 335 0.0636
333 194 0.4027
279 392 0.0493
324 305 0.1786
423 415 0.7073
135 251 0.7075
51 189 0.6703
164 471 0.8989
166 34 0.6611
34 105 0.9545
199 185 0.3777
423 278 0.4996
278 82 0.6244
0 345 0.1567
345 285 0.5521
279 87 0.0356
87 432 0.8018
127 70 0.2904
70 429 0.8612
388 45 0.6339
80 85 0.3699
85 107 0.4835
254 350 0.6596
229 323 0.0796
237 260 0.2645
50 224 0.3209
151 397 0.1930
226 73 0.8348
199 468 0.8806
265 357 0.6092
366 43 0.4725
437 362 0.8360
31 351 0.2424
284 268 0.4380
226 74 0.4780
164 161 0.9785
266 86 0.5979
38 380 0.3732
360 239 0.1322
134 311 0.4037
38 433 0.1714
266 314 0.8023
314 228 0.4408
422 364 0.7811
135 326 0.2526
177 358 0.5450
358 456 0.7131
368 411 0.3682
343 7 0.4436
296 312 0.5164
168 413 0.6007
18 4 0.5132
4 309 0.6265
391 180 0.5438
180 443 0.6440
443 106 0.7364
435 137 0.4016
153 120 0.4029
325 331 0.2580
406 72 0.4810
357 367 0.6681
199 467 0.9474
101 122 0.8998
173 150 0.3041
150 259 0.3829
301 387 0.7269
72 417 0.8923
127 23 0.4953
335 1 0.7886
23 64 0.1263
64 142 0.0881
85 230 0.3905
75 217 0.3167
217 361 0.4273
349 198 0.9917
198 348 0.7886
221 231 0.7073
47 27 0.6784
436 6 0.1403
273 52 0.4189
113 451 0.4600
465 434 0.9065
434 438 0.8192
422 386 0.2593
59 84 0.4407
291 15 0.8376
480 112 0.8042
467 281 0.2327
449 182 0.8257
258 57 0.5171
406 207 0.5578
207 216 0.6679
337 111 0.5750
115 347 0.7681
131 299 0.1701
299 274 0.9862
223 141 0.5993
356 235 0.3950
113 283 0.7357
102 201 0.4403
471 317 0.7286
249 412 0.0257
450 440 0.8279
421 98 0.5081
116 60 0.5967
60 270 0.5893
222 475 0.9700
173 409 0.8303
417 58 0.3324
196 442 0.8361
165 354 0.0119
56 248 0.6307
251 253 0.4454
152 282 0.9731
314 374 0.9391
335 247 0.5321
52 264 0.2518
138 290 0.4604
246 377 0.9315
377 29 0.4469
74 95 0.7109
121 426 0.8144
284 65 0.3619
423 68 0.6133
69 483 0.7129
483 172 0.3815
172 303 0.1970
166 332 0.5017
107 104 0.5087
422 154 0.7387
154 373 0.0202
459 22 0.5913
373 126 0.4529
290 3 0.0720
3 321 0.3690
289 272 0.5701
147 200 0.4770
224 218 0.8184
256 88 0.2131
34 90 0.0657
481 234 0.0494
92 477 0.2762
269 461 0.1756
421 145 0.6896
46 159 0.7235
116 163 0.1350
163 418 0.6982
475 262 0.1122
262 178 0.7192
478 346 0.2954
346 42 0.4991
296 448 0.9054
55 83 0.1809
36 91 0.4107
388 444 0.6433
358 155 0.0568
250 334 0.1657
1000 1234
606 494 0.8166
494 779 0.4785
779 237 0.5922
237 243 0.7861
243 311 0.4080
311 410 0.0833
410 319 0.0401
319 994 0.3718
994 603 0.4877
603 736 0.2805
736 634 0.1574
634 668 0.6776
668 128 0.0942
128 70 0.9425
70 765 0.9424
765 9 0.1409
9 346 0.2764
346 711 0.9309
711 388 0.9028
388 715 0.4213
715 587 0.9409
587 621 0.6770
621 115 0.1028
115 231 0.1646
231 446 0.6525
446 999 0.6328
999 37 0.4821
37 595 0.5393
595 866 0.2254
866 159 0.6163
159 895 0.7242
895 522 0.5135
522 43 0.6885
43 735 0.2775
735 620 0.9222
620 169 0.8493
169 302 0.2183
302 339 0.9382
339 140 0.5488
140 673 0.6399
673 850 0.9266
850 863 0.0231
863 187 0.6662
187 629 0.1272
629 931 0.9764
931 101 0.2284
101 496 0.9726
496 578 0.9808
578 957 0.6648
496 73 0.0968
73 776 0.8200
776 464 0.0600
464 978 0.7783
978 114 0.1594
114 933 0.1247
933 821 0.4228
821 906 0.3123
906 463 0.6248
463 848 0.0638
848 919 0.9742
919 535 0.4845
535 858 0.1357
858 759 0.3007
759 995 0.5743
995 524 0.0953
524 734 0.3025
734 921 0.1879
921 322 0.6132
322 245 0.6203
245 553 0.8868
553 79 0.4315
79 127 0.5238
127 979 0.0583
979 354 0.5669
779 662 0.0966
863 642 0.4283
642 663 0.6145
663 915 0.5281
915 838 0.6351
838 969 0.3809
969 362 0.6008
621 937 0.5398
937 470 0.2656
470 975 0.0392
975 233 0.9115
233 708 0.2972
708 434 0.3062
434 377 0.4467
377 280 0.0255
280 707 0.6579
707 232 0.2451
232 270 0.6628
270 301 0.7602
707 409 0.6512
409 170 0.1912
170 925 0.3928
925 458 0.8404
458 616 0.3493
616 28 0.9630
28 253 0.1103
253 433 0.7636
433 676 0.6503
676 942 0.4271
942 224 0.9223
224 404 0.4911
404 558 0.7538
558 49 0.9162
49 560 0.2732
560 888 0.7537
888 884 0.9672
884 705 0.1564
705 631 0.8592
631 545 0.3515
545 649 0.2242
558 195 0.9124
578 732 0.1618
732 877 0.9979
877 843 0.9288
843 485 0.6186
187 131 0.8228
131 696 0.5522
631 186 0.6593
186 174 0.0629
174 370 0.7893
370 593 0.4296
593 887 0.2727
887 689 0.4307
689 627 0.7502
627 601 0.3988
601 320 0.5334
320 849 0.2854
849 811 0.5798
715 177 0.3918
177 688 0.0926
688 905 0.2747
905 555 0.4382
555 333 0.2834
333 998 0.4349
998 52 0.4401
52 284 0.2028
284 228 0.5998
228 11 0.7886
11 414 0.6684
627 592 0.8011
592 580 0.7795
580 134 0.0609
134 546 0.9376
546 448 0.4408
448 680 0.2598
937 780 0.4989
780 929 0.8159
929 814 0.9800
933 164 0.2781
70 499 0.8326
499 34 0.1068
858 184 0.1377
184 5 0.1520
5 909 0.7249
909 793 0.3856
793 549 0.3485
346 120 0.8908
120 274 0.7711
274 356 0.2510
356 583 0.5185
696 226 0.2437
226 4 0.2119
4 116 0.3074
116 742 0.6462
742 375 0.6162
375 827 0.2767
827 891 0.3405
891 897 0.4609
897 590 0.0971
590 150 0.3923
150 567 0.0096
567 202 0.2113
202 896 0.1764
896 812 0.5303
812 290 0.5845
290 398 0.3157
470 981 0.3233
981 151 0.2053
151 949 0.8888
896 194 0.6128
194 852 0.3242
852 515 0.3341
128 247 0.0182
905 992 0.0678
992 63 0.0567
63 818 0.9004
818 219 0.5396
219 429 0.3396
429 695 0.1342
695 523 0.4333
448 58 0.4235
58 502 0.7178
957 437 0.0338
437 633 0.9401
633 432 0.4578
432 345 0.0269
345 822 0.7254
822 267 0.6090
267 90 0.3465
90 712 0.0260
712 679 0.4749
679 299 0.4097
779 387 0.4822
387 406 0.8641
406 806 0.2314
806 803 0.3861
803 220 0.6084
220 870 0.7604
870 265 0.7819
593 944 0.7282
944 389 0.5549
389 731 0.6933
969 677 0.7293
677 146 0.3388
146 611 0.8511
611 666 0.0283
666 576 0.3821
576 805 0.7027
805 103 0.0304
103 792 0.1614
140 106 0.4825
106 425 0.5360
425 802 0.9970
301 594 0.4884
594 266 0.2524
266 551 0.6655
551 198 0.6910
198 344 0.0271
580 934 0.0003
934 807 0.2142
807 831 0.5484
831 833 0.0912
833 145 0.1307
896 132 0.2642
132 386 0.8480
386 14 0.3869
14 794 0.9758
386 817 0.6462
522 422 0.5971
929 675 0.9722
339 456 0.8014
456 540 0.5160
793 444 0.2179
444 215 0.7959
849 222 0.3377
222 35 0.7550
150 403 0.6143
403 481 0.2440
481 639 0.2054
639 347 0.7265
742 256 0.6056
256 176 0.7405
176 845 0.1946
128 341 0.9026
992 160 0.2495
160 166 0.1611
166 835 0.4399
835 461 0.0680
58 693 0.9603
576 261 0.1783
176 987 0.9123
987 161 0.2864
835 589 0.6481
589 29 0.0854
29 254 0.4331
270 21 0.2561
21 462 0.2231
462 787 0.1402
787 338 0.5378
338 971 0.0047
333 306 0.4459
306 199 0.5467
199 644 0.4703
341 452 0.7570
452 753 0.0295
753 400 0.6978
400 420 0.0403
499 89 0.9701
21 264 0.8887
264 687 0.2413
687 57 0.9968
150 300 0.9338
300 405 0.9436
405 263 0.4271
263 281 0.5420
587 519 0.0147
446 839 0.5034
481 867 0.0122
867 609 0.5731
609 966 0.8892
966 465 0.9745
465 180 0.5556
180 923 0.5662
923 770 0.2704
770 181 0.0195
181 96 0.4265
96 183 0.8400
237 83 0.7435
114 772 0.1547
461 149 0.6130
159 894 0.9221
894 418 0.6233
418 505 0.0097
505 53 0.0261
53 15 0.9578
387 368 0.9427
368 445 0.9857
445 297 0.8893
297 358 0.3426
358 960 0.4273
960 518 0.9897
631 468 0.5654
468 559 0.3084
559 221 0.0797
221 3 0.8799
3 86 0.5717
560 748 0.0573
748 282 0.7707
282 158 0.8773
158 763 0.9381
763 102 0.1506
102 724 0.6016
724 591 0.1798
591 330 0.9201
330 75 0.0503
75 2 0.8076
2 206 0.9490
206 121 0.6528
121 797 0.4828
797 521 0.0108
521 778 0.4853
253 503 0.4048
503 659 0.5429
659 564 0.5996
564 886 0.5453
886 235 0.0958
235 229 0.8792
229 88 0.1642
88 713 0.0395
770 303 0.7173
303 878 0.6369
878 147 0.9333
147 477 0.8841
463 857 0.9145
649 17 0.0749
560 893 0.6102
893 40 0.4412
425 900 0.6803
900 8 0.2173
776 976 0.0514
976 837 0.5951
867 730 0.8566
616 862 0.2984
862 307 0.7919
307 841 0.5321
841 537 0.7975
537 60 0.6605
73 760 0.7786
578 38 0.2169
166 777 0.3883
777 566 0.3302
566 486 0.5007
486 816 0.5026
816 246 0.6277
246 213 0.8819
590 478 0.1454
478 152 0.2971
215 702 0.2883
499 36 0.7204
831 568 0.8649
568 349 0.6757
349 430 0.9873
430 796 0.1073
633 123 0.7089
934 376 0.6654
376 774 0.2559
774 109 0.9338
776 328 0.3089
328 95 0.7736
888 133 0.3607
133 318 0.3659
318 33 0.7430
33 178 0.3127
178 871 0.3381
871 23 0.1265
23 876 0.7177
876 939 0.3056
939 749 0.3965
749 66 0.9360
66 27 0.8993
27 385 0.5859
385 728 0.2528
728 912 0.3273
912 962 0.9648
962 840 0.9913
840 622 0.3422
622 438 0.2367
438 764 0.4725
764 945 0.6950
945 411 0.1169
411 343 0.4100
833 443 0.4872
558 80 0.7094
80 868 0.5856
868 651 0.6581
933 45 0.1246
166 883 0.4779
883 201 0.4146
888 784 0.8502
784 12 0.2705
919 118 0.3895
909 961 0.5804
961 826 0.1909
224 614 0.3447
445 252 0.5751
252 168 0.6270
168 953 0.8570
953 579 0.5507
194 482 0.0276
689 510 0.5918
510 719 0.9707
719 853 0.5958
464 744 0.9021
744 872 0.7347
872 636 0.6412
636 922 0.3966
922 584 0.2935
566 193 0.1131
96 495 0.4135
495 48 0.6069
187 225 0.2468
225 316 0.2026
777 775 0.8203
775 967 0.8364
967 604 0.9958
604 162 0.1947
162 936 0.0648
225 869 0.1453
936 251 0.4438
429 382 0.0478
382 490 0.9147
430 674 0.4280
674 623 0.0411
